"Symbol;Beschreibung;Gruppe;Basiswährung;Gewinnwährung;Dezimalstellen;Kontraktgröße;Spread;Handel_erlaubt";;;;;;;;
SEKJPY;Swedish Kronor vs. Japanese Yen;Forex\Exotics\SEKJPY;SEK;JPY;3;100000.0;8;Ja
SGDJPY;Singapore Dollar vs. Japanese Yen;Forex\Exotics\SGDJPY;SGD;JPY;3;100000.0;10;Ja
USDCNH;US Dollar vs Chinese Renminbi;Forex\Exotics\USDCNH;USD;CNH;5;100000.0;29;Ja
USDCZK;US Dollar vs Czech Republic Korunas;Forex\Exotics\USDCZK;USD;CZK;4;100000.0;113;Ja
USDDKK;US Dollar vs Danish Kroner;Forex\Exotics\USDDKK;USD;DKK;5;100000.0;41;Ja
USDHKD;US Dollar vs Hong Kong Dollar;Forex\Exotics\USDHKD;USD;HKD;5;100000.0;10;Ja
USDHUF;US Dollar vs Hungarian Forints;Forex\Exotics\USDHUF;USD;HUF;3;100000.0;114;Ja
USDMXN;US Dollar vs Mexican Peso;Forex\Exotics\USDMXN;USD;MXN;5;100000.0;228;Ja
USDNOK;US Dollar vs Norwegian Kroner;Forex\Exotics\USDNOK;USD;NOK;5;100000.0;451;Ja
USDPLN;US Dollar vs Polish Zlotys;Forex\Exotics\USDPLN;USD;PLN;5;100000.0;135;Ja
USDRUB;US Dollar vs Russian Ruble;Forex\Exotics\USDRUB;USD;RUB;5;100000.0;0;Ja
USDSEK;US Dollar vs Swedish Kroner;Forex\Exotics\USDSEK;USD;SEK;5;100000.0;394;Ja
USDTHB;US Dollar vs Thai Baht;Forex\Exotics\USDTHB;USD;THB;5;100000.0;800;Ja
USDTRY;US Dollar vsTurkish Lira;Forex\Exotics\USDTRY;USD;TRY;5;100000.0;586;Ja
USDZAR;US Dollar vs South African Rand;Forex\Exotics\USDZAR;USD;ZAR;5;100000.0;621;Ja
AUS200;Australia 200 Index;Indices\Indices Spot\Major Spot Indices\AUS200;USD;AUD;2;1.0;220;Ja
CHINA50;FTSE China A50 Index;Indices\Indices Spot\Minor Spot Indices\CHINA50;USD;USD;2;1.0;450;Ja
ES35;Spain 35 Index;Indices\Indices Spot\Minor Spot Indices\ES35;USD;EUR;2;1.0;300;Ja
STOXX50;EU Stocks 50 Index;Indices\Indices Spot\Major Spot Indices\STOXX50;USD;EUR;2;1.0;100;Ja
F40;France 40 Index;Indices\Indices Spot\Major Spot Indices\F40;USD;EUR;2;1.0;120;Ja
HK50;Hong Kong 50 Index;Indices\Indices Spot\Minor Spot Indices\HK50;USD;HKD;2;1.0;900;Ja
IT40;Italy 40 Index;Indices\Indices Spot\Minor Spot Indices\IT40;USD;EUR;2;1.0;1000;Ja
JP225;Japan 225 Index;Indices\Indices Spot\Major Spot Indices\JP225;USD;JPY;2;1.0;400;Ja
UK100;UK 100 Index;Indices\Indices Spot\Major Spot Indices\UK100;USD;GBP;2;1.0;90;Ja
US2000;US Small Cap 2000 Index;Indices\Indices Spot\Minor Spot Indices\US2000;USD;USD;2;1.0;14;Ja
US30;US Wall Street 30 Index;Indices\Indices Spot\Major Spot Indices\US30;USD;USD;2;1.0;120;Ja
US500;US SPX 500 Index;Indices\Indices Spot\Major Spot Indices\US500;USD;USD;2;1.0;50;Ja
USTEC;US Tech 100 Index;Indices\Indices Spot\Major Spot Indices\USTEC;USD;USD;2;1.0;100;Ja
XAGEUR;Silver vs Euro;Commodities\Metals\XAGEUR;XAG;EUR;3;1000.0;40;Ja
XAGUSD;Silver vs US Dollar;Commodities\Metals\XAGUSD;XAG;USD;3;1000.0;47;Ja
XAUEUR;Gold vs Euro;Commodities\Metals\XAUEUR;XAU;EUR;2;100.0;14;Ja
XAUUSD;Gold vs US Dollar;Commodities\Metals\XAUUSD;XAU;USD;2;100.0;10;Ja
XPDUSD;Palladium vs US Dollar;Commodities\Metals\XPDUSD;XPD;USD;2;100.0;797;Ja
XPTUSD;Platinum vs US Dollar;Commodities\Metals\XPTUSD;XPT;USD;2;100.0;630;Ja
XBRUSD;Brent Oil vs US Dollar;Commodities\Energies\Energies Spot\XBRUSD;XBR;USD;2;100.0;1;Ja
XNGUSD;Natural Gas vs US Dollar;Commodities\Energies\Energies Spot\XNGUSD;XNG;USD;4;10000.0;110;Ja
XTIUSD;Crude Oil vs US Dollar;Commodities\Energies\Energies Spot\XTIUSD;XTI;USD;2;100.0;2;Ja
BTCUSD;Bitcoin (USD);Crypto\BTCUSD;USD;USD;2;1.0;1200;Ja
BCHUSD;Bitcoin Cash US Dollar;Crypto\BCHUSD;USD;USD;2;1.0;180;Ja
ETHUSD;Ethereum (USD);Crypto\ETHUSD;USD;USD;2;1.0;290;Ja
LTCUSD;Litecoin US Dollar;Crypto\LTCUSD;USD;USD;2;1.0;104;Ja
AAPL.NAS;Apple Inc CFD;Stock CFD's\Nasdaq\AAPL.NAS;USD;USD;3;1.0;20;Ja
ADBE.NAS;Adobe Systems CFD;Stock CFD's\Nasdaq\ADBE.NAS;USD;USD;3;1.0;80;Ja
ADI.NAS;Analog Devices CFD;Stock CFD's\Nasdaq\ADI.NAS;USD;USD;3;1.0;70;Ja
ADP.NAS;Automatic Data Processing (ADP) CFD;Stock CFD's\Nasdaq\ADP.NAS;USD;USD;3;1.0;120;Ja
AMAT.NAS;Applied Materials CFD;Stock CFD's\Nasdaq\AMAT.NAS;USD;USD;3;1.0;60;Ja
AMGN.NAS;Amgen CFD;Stock CFD's\Nasdaq\AMGN.NAS;USD;USD;3;1.0;80;Ja
AMZN.NAS;Amazon.com CFD;Stock CFD's\Nasdaq\AMZN.NAS;USD;USD;3;1.0;10;Ja
AVGO.NAS;Broadcom Ltd CFD;Stock CFD's\Nasdaq\AVGO.NAS;USD;USD;3;1.0;40;Ja
BKNG.NAS;Booking Holdings Inc CFD;Stock CFD's\Nasdaq\BKNG.NAS;USD;USD;2;1.0;295;Ja
BIIB.NAS;Biogen Inc CFD;Stock CFD's\Nasdaq\BIIB.NAS;USD;USD;3;1.0;100;Ja
CELG.NAS;Celgene Corp CFD;Stock CFD's\Nasdaq\CELG.NAS;USD;USD;2;1.0;159;Ja
CHTR.NAS;Charter Communications Inc CFD;Stock CFD's\Nasdaq\CHTR.NAS;USD;USD;2;1.0;7;Ja
CMCSA.NAS;Comcast Corp A CFD;Stock CFD's\Nasdaq\CMCSA.NAS;USD;USD;2;1.0;1;Ja
CME.NAS;CME Group CFD;Stock CFD's\Nasdaq\CME.NAS;USD;USD;2;1.0;4;Ja
COST.NAS;Costco Wholesale CFD;Stock CFD's\Nasdaq\COST.NAS;USD;USD;2;1.0;22;Ja
CRON.NAS;Cronos Group Inc CFD;Stock CFD's\Nasdaq\CRON.NAS;USD;USD;2;1.0;1;Ja
CSCO.NAS;Cisco Systems CFD;Stock CFD's\Nasdaq\CSCO.NAS;USD;USD;2;1.0;1;Ja
CSX.NAS;CSX Corp CFD;Stock CFD's\Nasdaq\CSX.NAS;USD;USD;3;1.0;10;Ja
CTSH.NAS;Cognizant Technology Solutions CFD;Stock CFD's\Nasdaq\CTSH.NAS;USD;USD;2;1.0;2;Ja
EA.NAS;Electronic Arts CFD;Stock CFD's\Nasdaq\EA.NAS;USD;USD;2;1.0;1;Ja
EBAY.NAS;Ebay CFD;Stock CFD's\Nasdaq\EBAY.NAS;USD;USD;2;1.0;2;Ja
EQIX.NAS;Equinix CFD;Stock CFD's\Nasdaq\EQIX.NAS;USD;USD;2;1.0;37;Ja
FOX.NAS;Fox Corp - Class B CFD;Stock CFD's\Nasdaq\FOX.NAS;USD;USD;2;1.0;1;Ja
FOXA.NAS;Fox Corp - Class A CFD;Stock CFD's\Nasdaq\FOXA.NAS;USD;USD;2;1.0;1;Ja
GILD.NAS;Gilead Sciences CFD;Stock CFD's\Nasdaq\GILD.NAS;USD;USD;2;1.0;6;Ja
GOOG.NAS;Alphabet Inc C CFD;Stock CFD's\Nasdaq\GOOG.NAS;USD;USD;2;1.0;3;Ja
INTC.NAS;Intel Corp CFD;Stock CFD's\Nasdaq\INTC.NAS;USD;USD;2;1.0;1;Ja
INTU.NAS;Intuit CFD;Stock CFD's\Nasdaq\INTU.NAS;USD;USD;2;1.0;13;Ja
ISRG.NAS;Intuitive Surgical CFD;Stock CFD's\Nasdaq\ISRG.NAS;USD;USD;2;1.0;24;Ja
KHC.NAS;Kraft Heinz Co CFD;Stock CFD's\Nasdaq\KHC.NAS;USD;USD;2;1.0;1;Ja
MAR.NAS;Marriott Intl CFD;Stock CFD's\Nasdaq\MAR.NAS;USD;USD;2;1.0;3;Ja
MDLZ.NAS;Mondelez International CFD;Stock CFD's\Nasdaq\MDLZ.NAS;USD;USD;2;1.0;1;Ja
MSFT.NAS;Microsoft Corp CFD;Stock CFD's\Nasdaq\MSFT.NAS;USD;USD;2;1.0;2;Ja
MU.NAS;Micron Technology Inc CFD;Stock CFD's\Nasdaq\MU.NAS;USD;USD;2;1.0;7;Ja
NFLX.NAS;Netflix CFD;Stock CFD's\Nasdaq\NFLX.NAS;USD;USD;2;1.0;1;Ja
NVDA.NAS;Nvidia Corp CFD;Stock CFD's\Nasdaq\NVDA.NAS;USD;USD;2;1.0;1;Ja
PEP.NAS;Pepsico CFD;Stock CFD's\Nasdaq\PEP.NAS;USD;USD;2;1.0;1;Ja
PYPL.NAS;Paypal Holdings Inc CFD;Stock CFD's\Nasdaq\PYPL.NAS;USD;USD;2;1.0;1;Ja
QCOM.NAS;Qualcomm CFD;Stock CFD's\Nasdaq\QCOM.NAS;USD;USD;2;1.0;3;Ja
REGN.NAS;Regeneron Pharmaceuticals Inc CFD;Stock CFD's\Nasdaq\REGN.NAS;USD;USD;2;1.0;89;Ja
SBUX.NAS;Starbucks Corp CFD;Stock CFD's\Nasdaq\SBUX.NAS;USD;USD;2;1.0;1;Ja
SHPG.NAS;Shire Plc ADR CFD;Stock CFD's\Nasdaq\SHPG.NAS;USD;USD;2;1.0;1;Nein
TFCF.NAS;Twenty-First Century Fox (USD) B CFD;Stock CFD's\Nasdaq\TFCF.NAS;USD;USD;2;1.0;0;Nein
TFCFA.NAS;Twenty-First Century Fox (USD) A CFD;Stock CFD's\Nasdaq\TFCFA.NAS;USD;USD;2;1.0;0;Nein
TLRY.NAS;Tilray Inc CFD;Stock CFD's\Nasdaq\TLRY.NAS;USD;USD;2;1.0;1;Ja
TMUS.NAS;T-Mobile US CFD;Stock CFD's\Nasdaq\TMUS.NAS;USD;USD;2;1.0;3;Ja
TSLA.NAS;Tesla Motors CFD;Stock CFD's\Nasdaq\TSLA.NAS;USD;USD;2;1.0;2;Ja
TXN.NAS;Texas Instruments CFD;Stock CFD's\Nasdaq\TXN.NAS;USD;USD;2;1.0;2;Ja
VRTX.NAS;Vertex Pharma CFD;Stock CFD's\Nasdaq\VRTX.NAS;USD;USD;2;1.0;23;Ja
ABBV.NYSE;AbbVie Inc CFD;Stock CFD's\NYSE\ABBV.NYSE;USD;USD;3;1.0;60;Ja
ABT.NYSE;Abbott Labs CFD;Stock CFD's\NYSE\ABT.NYSE;USD;USD;3;1.0;20;Ja
ACB.NYSE;Aurora Cannabis Inc. CFD;Stock CFD's\NYSE\ACB.NYSE;USD;USD;2;1.0;1;Ja
AXP.NYSE;American Express CFD;Stock CFD's\NYSE\AXP.NYSE;USD;USD;4;1.0;900;Ja
BA.NYSE;Boeing Co CFD;Stock CFD's\NYSE\BA.NYSE;USD;USD;3;1.0;10;Ja
BAC.NYSE;Bank Of America CFD;Stock CFD's\NYSE\BAC.NYSE;USD;USD;3;1.0;10;Ja
BLK.NYSE;Blackrock Inc CFD;Stock CFD's\NYSE\BLK.NYSE;USD;USD;3;1.0;520;Ja
BMY.NYSE;Bristol Myers Sq CFD;Stock CFD's\NYSE\BMY.NYSE;USD;USD;3;1.0;10;Ja
C.NYSE;Citigroup CFD;Stock CFD's\NYSE\C.NYSE;USD;USD;3;1.0;10;Ja
CGC.NYSE;Canopy Growth Corp. CFD;Stock CFD's\NYSE\CGC.NYSE;USD;USD;2;1.0;1;Ja
CVS.NYSE;CVS Health Corp CFD;Stock CFD's\NYSE\CVS.NYSE;USD;USD;2;1.0;1;Ja
CVX.NYSE;Chevron Corp CFD;Stock CFD's\NYSE\CVX.NYSE;USD;USD;2;1.0;1;Ja
DD.NYSE;DuPont de Nemours Inc CFD;Stock CFD's\NYSE\DD.NYSE;USD;USD;2;1.0;1;Ja
DIS.NYSE;Walt Disney Co CFD;Stock CFD's\NYSE\DIS.NYSE;USD;USD;2;1.0;1;Ja
DWDP.NYSE;DowDuPont Inc CFD;Stock CFD's\NYSE\DWDP.NYSE;USD;USD;2;1.0;1;Ja
